razao_social;nome_fantasia;cnpj;email;telefone;celular;responsavel;cep;endereco;numero;complemento;bairro;cidade;estado;porte;limite_aprovado;observacao;corretora_nome;data_cadastro
SLC AGRÍCOLA S.A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-07 0:00:00
INFRACON ENGENHARIA E COMERCIO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-09 0:00:00
TELESPAZIO BRASIL S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-09 0:00:00
GRUPO EMBELLEZE |;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-02-09 0:00:00
SÃO SALVADOR ALIMENTOS S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
SUPER TERMINAIS COMÉRCIO E INDÚSTRIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
GRUPO ORIZON;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
BOVEN COMERCIALIZADORA DE ENERGIA LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-11 0:00:00
INTERNATIONAL PUBLICITY;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-12 0:00:00
RPM BRASIL LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-12 0:00:00
FRIGORÍFICO AVÍCOLA VOTUPORANGA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-13 0:00:00
GUIMARAES CONSTRUCAO E ADMINISTRACAO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-13 0:00:00
IPTRUST ADVANCE TECNOLOGIA DA INFORMACAO LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-13 0:00:00
BANCO DO EMPREENDEDOR;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-13 0:00:00
SPE SÃO PAULO SUL S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-18 0:00:00
AIR LESS SERRANA SERVICOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-18 0:00:00
SOLUCOES INTELIGENTES OPERADORES PORTUARIOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-18 0:00:00
REP ENGENHARIA E SERVICOS LTD;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-19 0:00:00
GRUPO OXE;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-19 0:00:00
CAMERITE SISTEMAS S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-20 0:00:00
GUAÇU EMBALAGENS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-23 0:00:00
KAMARI PARTICIPACOES S.A.;;43.513.998/0001-30;;;;;;;;;;;;;0,70;;J&F Jemfam Corretora De Seguros Ltda;24/02/2026
GR SEGURANÇA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-24 0:00:00
ALIANÇA SAÚDE PARTICIPAÇÕES LTDA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-24 0:00:00
LOTRANS LOGISTICA TRANSPORTES DE CARGAS COMERCIO E SERVICOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-26 0:00:00
CONSORCIO APOIO PARÁ;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-26 0:00:00
GNPW Participações S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-27 0:00:00
ORIGEM ENERGIA SA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-03 0:00:00
CENTRO EDUCACIONAL SAINT HELENA LTDA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-03-03 0:00:00
MASKAN CONSTRUTORA E INCORPORADORA LTDA;;13.873.978/0001-00;;;;;;;;;;;;;29.834.731,17;;Alper Consultoria E Corretora De Seguros;06/03/2026
AGE Administração e Participações S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-06 0:00:00
IMSB INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
MANAGER 7;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
HUB SERVIÇOS DE COMUNICAÇÃO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
ROLDÃO ATACADISTA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-09 0:00:00
